USPS	GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                    
CA	06001	01675839	Alameda County	1510271	582549	1914046110	213184643	     739.017	      82.311	 37.648081	-121.913304                                                                                   
CA	06003	01675840	Alpine County	1175	1760	1912271907	12557251	     738.332	       4.848	 38.617610	-119.798999                                                                                          
CA	06005	01675841	Amador County	38091	18032	1539962991	29456575	     594.583	      11.373	 38.443550	-120.653856                                                                                        
CA	06007	01675842	Butte County	220000	95835	4238423238	105325758	    1636.464	      40.667	 39.665959	-121.601919                                                                                       
CA	06009	01675885	Calaveras County	45578	27925	2641819725	43810420	    1020.012	      16.915	 38.187844	-120.555115                                                                                     
CA	06011	01675902	Colusa County	21419	7883	2980379369	14581020	    1150.731	       5.630	 39.177739	-122.237563                                                                                         
CA	06013	01675903	Contra Costa County	1049025	400263	1854268836	227485306	     715.937	      87.833	 37.919479	-121.951543                                                                              
CA	06015	01682074	Del Norte County	28610	11186	2606493856	578525663	    1006.373	     223.370	 41.749903	-123.980998                                                                                    
CA	06017	00277273	El Dorado County	181058	88159	4423396606	203243236	    1707.883	      78.473	 38.785532	-120.534398                                                                                   
CA	06019	00277274	Fresno County	930450	315531	15431126407	137815999	    5957.991	      53.211	 36.761006	-119.655019                                                                                    
CA	06021	00277275	Glenn County	28122	10778	3403106702	33750196	    1313.947	      13.031	 39.602546	-122.401700                                                                                         
CA	06023	01681908	Humboldt County	134623	61559	9241044673	1254256396	    3567.987	     484.271	 40.706673	-123.925818                                                                                   
CA	06025	00277277	Imperial County	174528	56067	10817352524	790247942	    4176.603	     305.116	 33.040816	-115.355395                                                                                   
CA	06027	01804637	Inyo County	18546	9478	26368354217	119208057	   10180.879	      46.026	 36.561977	-117.403927                                                                                         
CA	06029	02054176	Kern County	839631	284367	21061565098	79577235	    8131.916	      30.725	 35.346629	-118.729506                                                                                       
CA	06031	00277280	Kings County	152982	43867	3598582308	5468555	    1389.420	       2.111	 36.072478	-119.815530                                                                                         
CA	06033	00277281	Lake County	64665	35492	3254227528	188962335	    1256.464	      72.959	 39.094802	-122.746757                                                                                         
CA	06035	01693324	Lassen County	34895	12710	11761612172	463440721	    4541.184	     178.935	 40.721089	-120.629931                                                                                      
CA	06037	00277283	Los Angeles County	9818605	3445076	10509869649	1795012906	    4057.884	     693.058	 34.196398	-118.261862                                                                            
CA	06039	00277284	Madera County	150865	49140	5534982985	41957504	    2137.069	      16.200	 37.210039	-119.749852                                                                                       
CA	06041	00277285	Marin County	252409	111214	1347585521	797420433	     520.306	     307.886	 38.051817	-122.745974                                                                                      
CA	06043	00277286	Mariposa County	18251	10188	3752416976	36271400	    1448.816	      14.004	 37.570033	-119.912860                                                                                      
CA	06045	00277287	Mendocino County	87841	40323	9081386386	962952644	    3506.343	     371.798	 39.432388	-123.442881                                                                                    
CA	06047	00277288	Merced County	255793	83698	5011554741	112760487	    1934.972	      43.537	 37.194806	-120.722802                                                                                      
CA	06049	00277289	Modoc County	9686	5192	10146977156	739774453	    3917.770	     285.629	 41.592918	-120.718370                                                                                         
CA	06051	00277290	Mono County	14202	13912	7896827391	214695487	    3048.982	      82.894	 37.915836	-118.875167                                                                                         
CA	06053	00277291	Monterey County	415057	139048	8496702738	1270714482	    3280.595	     490.626	 36.240107	-121.315573                                                                                  
CA	06055	00277292	Napa County	136484	54759	1938247338	104169342	     748.362	      40.220	 38.507351	-122.325995                                                                                        
CA	06057	01682927	Nevada County	98764	52590	2480616988	41514942	     957.772	      16.029	 39.295191	-120.773446                                                                                        
CA	06059	00277294	Orange County	3010232	1048907	2047561084	407916814	     790.568	     157.498	 33.675687	-117.777207                                                                                   
CA	06061	00277295	Placer County	348432	152648	3644136017	247205361	    1407.009	      95.447	 39.062032	-120.722718                                                                                     
CA	06063	00277296	Plumas County	20007	15566	6612350713	156395470	    2553.043	      60.385	 39.995170	-120.829515                                                                                       
CA	06065	00277297	Riverside County	2189641	800707	18664696661	251073334	    7206.480	      96.940	 33.729828	-116.002239                                                                                
CA	06067	00277298	Sacramento County	1418788	555932	2498415670	76077248	     964.644	      29.374	 38.450011	-121.340441                                                                                 
CA	06069	00277299	San Benito County	55269	17870	3596742302	4555039	    1388.710	       1.759	 36.610702	-121.085296                                                                                     
CA	06071	00277300	San Bernardino County	2035210	699637	51947229509	124028343	   20056.938	      47.888	 34.857220	-116.181197                                                                           
CA	06073	00277301	San Diego County	3095313	1164786	10895120648	826347909	    4206.630	     319.055	 33.023604	-116.776117                                                                               
CA	06075	00277302	San Francisco County	805235	376942	121399963	479190317	      46.873	     185.016	 37.727239	-123.032229                                                                               
CA	06077	00277303	San Joaquin County	685306	233755	3603505998	91108644	    1391.322	      35.177	 37.935034	-121.272237                                                                                 
CA	06079	00277304	San Luis Obispo County	269637	117315	8543248461	820974646	    3298.567	     316.980	 35.385227	-120.447540                                                                            
CA	06081	00277305	San Mateo County	718451	271031	1161371825	757704380	     448.408	     292.551	 37.414664	-122.371542                                                                                  
CA	06083	00277306	Santa Barbara County	423895	152834	7083838022	2729829365	    2735.085	    1053.993	 34.537378	-120.038485                                                                             
CA	06085	00277307	Santa Clara County	1781642	631920	3341343470	36174996	    1290.100	      13.967	 37.220777	-121.690622                                                                                
CA	06087	00277308	Santa Cruz County	262382	104476	1152986019	419568865	     445.170	     161.996	 37.012488	-122.007205                                                                                 
CA	06089	01682610	Shasta County	177223	77313	9778246966	186530888	    3775.402	      72.020	 40.760521	-122.043550                                                                                      
CA	06091	00277310	Sierra County	3240	2328	2468813797	23299108	     953.214	       8.996	 39.576925	-120.521993                                                                                          
CA	06093	00277311	Siskiyou County	44900	23910	16259652221	179889482	    6277.887	      69.456	 41.587986	-122.533287                                                                                    
CA	06095	00277312	Solano County	413344	152698	2128361199	218665937	     821.765	      84.427	 38.267226	-121.939594                                                                                     
CA	06097	01657246	Sonoma County	483878	204572	4081430136	497530353	    1575.849	     192.098	 38.532574	-122.945194                                                                                     
CA	06099	00277314	Stanislaus County	514453	179503	3871582888	51437339	    1494.827	      19.860	 37.562384	-121.002656                                                                                  
CA	06101	00277315	Sutter County	94737	33858	1560235601	15747004	     602.410	       6.080	 39.035257	-121.702758                                                                                        
CA	06103	01692767	Tehama County	63463	26987	7639709781	32276063	    2949.709	      12.462	 40.126156	-122.232276                                                                                        
CA	06105	00277317	Trinity County	13786	8681	8234229734	73407861	    3179.254	      28.343	 40.647724	-123.114404                                                                                        
CA	06107	00277318	Tulare County	442179	141696	12494658169	37391616	    4824.215	      14.437	 36.230453	-118.780542                                                                                     
CA	06109	00277319	Tuolumne County	55365	31244	5752062580	138683578	    2220.884	      53.546	 38.021451	-119.964708                                                                                     
CA	06111	00277320	Ventura County	823318	281695	4773691889	945991626	    1843.133	     365.249	 34.358741	-119.133143                                                                                    
CA	06113	00277321	Yolo County	200849	75054	2628032408	22969178	    1014.689	       8.868	 38.679268	-121.903178                                                                                         
CA	06115	00277322	Yuba County	72155	27635	1636454192	30998568	     631.839	      11.969	 39.270026	-121.344280                                                                                          
