agency_number,agency_name
03035C,Mule Creek State Prison
08015C,Pelican Bay State Prison
10015C,Pleasant Valley State Prison
10015M,Coalinga State Hospital
13015C,Calipatria State Prison
13045C,Centinela State Prison
15015C,California Correctional Institution
15025C,Wasco State Prison
15045C,North Kern State Prison (Delano)
15075C,Kern Valley State Prison
16015C,Avenal State Prison
16025C,Corcoran State Prison
16045C,California Substance Abuse Treatment Facility   
18015C,California Correctional Center    (Susanville)
18035C,High Desert State Prison
19015C,California State Prison - Lancaster
19015M,Metropolitan State Hospital
20015C,Central CA Women's Facility
20045C,Valley State Prison for Women (stopped 2013)
20045C,Valley State Prison (started for men in 2013)
21015C,San Quentin State Prison
27015C,"Correctional Training Facility, Soledad"
27025C,Salinas Valley State Prison
28015M,Napa State Hospital
33015C,California Rehabilitation Center
33045C,Chuckawalla Valley State Prison
33065C,Ironwood State Prison
34015C,Folsom State Prison
34065C,"California State Prison, Sacramento"
36015C,California Institution for Men
36045C,California Institution for Men (West)
36055C,California Institution for Men (Central)
36065C,California Institution for Men (East)
36085C,California Institution for Women
36015M,Patton State Hospital
37015C,R. J. Donovan Correctional Facility
39015C,Deuel Vocational Institution
39045G,California Health Care Facility
39065C,Northern California Women's Facility (closed)
40015C,California Men's Colony
40015M,Atascadero State Hospital
48015C,California Medical Facility (Vacaville)
48045C,California State Prison
55015C,Sierra Conservation Center
99015C,CDCR/CBU/ Out-of-State Correctional Facility
99025C,CDCR/CBU/Medical Parole
99035C,CDCR/CBU/SACCO/WICC
,
,
Code,Institution
03015C,Pine Grove Youth Conservation Camp
39035C,N. A. Chaderjian Youth Correctional Facility
39045C,O. H. Close Youth Correctional Facility
56025C,Ventura Youth Correctional Facility
Youth Facilities Closed Or Converted to Adult Facilities,
03025C,Preston Youth Correctional Facility  (6/2011)
19045C,Southern Youth Correctional Rec. Ctr and Clinic    (12/2011)
19055C,Fred C. Nelles School  (2004)
19333C,Fenner Canyon Youth Conservation Camp
22015C,Mt. Bullion Youth Conservation Camp  (2004)
29015C,Washington Ridge Youth Conservation Camp   (2005)
34025C,Northern Reception Center   (2004)
36035C,Heman G. Stark Youth Correctional Facility  (2010)
39025C,DeWitt Nelson Youth Training Center  (2008)
39055C,Karl Holton School  (2003)
40025C,El Paso de Robles School (CYA)  (2008)
44015C,Ben Lomond Youth Conservation Camp   (2005)
56015C,S. Carraway Public Service and Fire Center (12/2011)
,
,
Code,Facility
20023C,Madera County Department of Corrections
28023C,Napa County Department of Corrections
43083C,Santa Clara Department of Corrections
,Note: Santa Clara Department of Corrections turned over operations of the jail to the Sheriff’s Department around 2004-2005.
,
,
Code,Agency
010000,Alameda Co. Sheriff's Department
010100,Alameda
010200,Albany
010300,Berkeley
010400,Emeryville
010500,Fremont
010600,Hayward
010700,Livermore
010800,Newark
010900,Oakland
011000,Piedmont
011100,Pleasanton
011200,San Leandro
011300,Union City
011400,Alameda E. Bay Reg. Park Dist.
011500,CSU East Bay
011600,Union Pacific RR - Alameda
011A00,ABC Oakland
012100,Alameda BART
012200,UC Lawrence-Livermore
012700,UC Lawrence-Berkeley
012800,Santa Fe RR - Alameda
012900,Southern Pacific RR - Alameda
013000,Dublin
013100,Alameda E. Bay Mun. Util. Dist.
013200,Union Pacific RR - Alameda
019700,UC Berkeley
019800,CA State Police - Alameda
019900,CA Highway Patrol - Alameda
020000,Alpine Co. Sheriff's Department
029900,CA Highway Patrol - Alpine
030000,Amador Co. Sheriff's Department
030100,Amador
030200,Ione
030300,Jackson
030400,Plymouth
030500,Sutter Creek
030600,Union Pacific RR - Amador
039900,CA Highway Patrol - Amador
040000,Butte Co. Sheriff's Department
040100,Biggs
040200,Chico
040300,Gridley
040400,Oroville
040500,Paradise
040600,Union Pacific RR - Butte
040700,Northern Buttes DPR
040900,Upper Valley DPR
041100,Union Pacific RR - Butte
049700,CSU Chico
049800,CA State Police - Butte
049900,CA Highway Patrol - Butte
050000,Calaveras Co. Sheriff's Department
050100,Angels Camp
050200,Union Pacific RR - Calaveras
050300,Calaveras DPR
059900,CA Highway Patrol - Calaveras
060000,Colusa Co. Sheriff's Department
060100,Colusa
060200,Williams
060300,Union Pacific RR - Colusa
069900,CA Highway Patrol - Colusa
070000,Contra Costa Co. Sheriff's Department
070100,Antioch
070200,Brentwood
070300,Clayton
070400,Concord
070500,El Cerrito
070600,Hercules
070700,Pinole
070800,Pittsburg
070900,Pleasant Hill
071000,Richmond
071100,San Pablo
071200,Walnut Creek
071300,Kensington
071400,Martinez
071500,Lafayette
071600,Moraga
071700,Contra Costa E. Bay Reg. Park Dist.
071800,Contra Costa BART
071900,Santa Fe RR - Contra Costa
